mt,ref,score
"In addition, people working in a hot environment should be properly supplemented with drinks containing potassium, magnesium and other elements.","In addition, people working in high temperature environment should properly supplement drinks containing potassium, magnesium and other elements.",-5.1
"Long days and short nights in summer, high temperatures, the body's metabolism is strong, consumption is also large, easy to feel fatigue.","In summer, the days are long and the nights are short, the temperature is high, the metabolism of human body is vigorous, the consumption is large, and it is easy to feel tired.",-15
"Adequate sleep can make the brain and body systems are relaxed, both for work and study, is also a measure to prevent heat stroke.","Adequate sleep can relax brain and body systems, which is beneficial to work and study, and is also a measure to prevent heatstroke.",-15
"Experts say that the best time to go to bed is 22:00 to 23:00, the best time to get up is 5:30 to 6:30.","Experts say that the best time to go to bed is from 22: 00 to 23: 00, and the best time to get up is from 5: 30 to 6: 30.",0
Take care not to lie under air conditioning vents and electric fans while sleeping to avoid air conditioning disease and heat stroke.,"When sleeping, we should be careful not to lie under the air conditioner outlet and electric fan to avoid suffering from air conditioning diseases and hot cold.",-15
"Experts suggest that people who are active outdoors or working in high temperatures can carry with them heatstroke prevention medicines such as ten drops of water, Ren Dan, patchouli or patchouli pills, or place them in the nearest workplace and use them at any time to prevent heatstroke.","Experts suggest that people who are outdoors or working at high temperature can carry heatstroke prevention drugs such as Shidi Shui, Rendan, Huoxiang Zhengqi Shui or Huoxiang Zhengqi Wan with them, or put them in the nearest workplace to use them at any time, so as to prevent heatstroke.",-25
Graduate art exhibition moved into shopping mall for public interest - Xinhua,Graduates' Art Exhibition Moved into Shopping Mall for Public Welfare Exhibition - www.xinhuanet.com,-5
"In the season of ""cloud graduation"" at major universities, a rare offline art exhibition of graduates opened last weekend.","In the “cloud graduation” season of colleges and universities, a rare offline graduate art exhibition kicked off warmly last weekend.",-1
"But it was neither in an art museum nor on campus, but in the public space of Chaoyang Joy City, and was open to the public for free until August 23.","However, it is neither in the art museum nor in the campus, but in the public space of Chaoyang Joy City, and is open to the public free of charge until August 23rd.",0
"The exhibition space extends from the 2nd floor to the 6th floor, and makes full use of the light boxes in the building to display flat works, so as to maximize the artistic atmosphere of the graduation season.","The reporter learned that this 2020 graduates’ art exhibition collected 50 works/group works of 57 young artists from the Central Academy of Fine Arts, the Communication University of China and the Tianjin Academy of Fine Arts, and the exhibition space was extended from 2 floors to 6 floors, and the light boxes in the building were fully used to display the plane works, thus maximizing the artistic atmosphere in the graduation season.",-5
"Under the epidemic, the significance of this exhibition is particularly special.","Under the COVID-19 epidemic, the significance of this exhibition is particularly special.",0
"Ge Ping, the person in charge of the aesthetics of Chaoyang Joy City, said frankly: ""We chose to bring the graduation exhibition towards the 'cloud' back to the offline space again, also hoping to let more people see the youth's exploration of themselves and their understanding of the world, and amplify the healing power of art for society and the soul. ""","Ge Ping, head of Meichen, Chaoyang Joy City, said: “we choose to bring the graduation exhibition to the ‘cloud’ back to the offline space again; and we also hope that more people can see the youth’s exploration themselves and understanding of the world, and enlarge the art for society and the healing power of the soul.  ”",-11
"She revealed that the works exhibited in this exhibition were collected from graduates of several art colleges and universities, from which those suitable for commercial space were selected. The works range from traditional easel painting and sculpture to new media installation, interactive animation and VR panorama, with the largest volume and richness ever.","She revealed that the works exhibited this time were collected from graduates from the above art colleges, and they were selected to be suitable for commercial space display; and the works ranged from traditional easel painting and sculpture to new media installations, interactive animation and VR panorama, with the highest volume and richness in the past years.",-3
"Among them, Li Yunxiao's ""The First Battle of 2020"" expresses his feelings in the epidemic through a mixture of mechanical and manual creation language; Liu Jiaying's ""Sound Money"" explores ""cryptocurrency"", ""credit creation"", ""transaction"" and other issues through the ethereum blockchain. Zhang Jiaqi's ""Cat Forest"" and Qiu Daqiang's ""Custody"" both show animals that are often accompanied by humans, from which we can see the young artists' understanding of the relationship between humans and animals. Zhu Zhongyou's work ""Winter of Faith - Gift"" is a reminder to the growing young people, ""When one day your career is successful, don't forget the original heart and remember the simplicity and sincerity.""","Li Yunxiao expressed his feelings in the epidemic through the creative language of mechanical and manual mixing in the “First Battle of 2020”; Liu Jiaying's work ""Sound Money"" created by Ethereum Blockchain discusses the subjects of “cryptocurrency”, “credit creation”, and “transaction”, etc.; Zhang Jiaqi’s “Cat Forest” and Qiu Daqiang’s “Ji” show animals that are often accompanied by human beings, from which we can see young artists’ understanding of the relationship between man and animals; and Zhu Zhongyu’s work “Winter of Faith-Gift” is to remind young people who are growing up, i.e. “when one day has a successful career, do not forget your initiative mind, and remember that simplicity and sincerity.  ”",-17
Among the few graduates who set up the exhibition in person was Li Jingyin from the sculpture department of Tianjin Academy of Fine Arts.,Li Jingyin from the Sculpture Department of the Tianjin Academy of Fine Arts is one of the few graduates who personally arranged the exhibition.,-3
"""I came to Beijing on July 7, when I was actually a little worried about the epidemic, and also had a nucleic acid test three days in advance, and came to set up the exhibition with alcohol sponges and test reports.""","“I came to Beijing on July 7. At that time, I was actually a little worried about the epidemic; I also accepted nucleic acid testing three days in advance; and I brought alcohol cotton and testing report for the exhibition. ”",-6
"His work ""Yesterday is like a mystery"" has a complex structure and he had to do it himself.","His work “Yesterday as a Mystery” has a complicated structure, so he must do it himself.",0
"At the same time, he also took on the task of helping his classmates repair their broken works.","At the same time, he also undertakes the task of helping students repair damaged works.",-1
"""Setting up the exhibition until 4:30 a.m. and then doing the repair, the time was so tight that I forgot to take a picture with the work, which was also a bit regrettable.""","“The exhibition was arranged until 4: 30 in the morning, and then I made repair; the time was very tight; and I forgot to take a photo with the work, and it was a bit regrettable. ”",0
"He hopes that when the epidemic is more stable, he and his classmates will come back to Beijing to see the exhibition of his works.","He hopes that when the epidemic situation is more stable, he will come to Beijing with his classmates to see his work exhibition.",-5
(Reporter Li Li),(Reporter Li Wei),0
"Rewarded 50,000 yuan Hubei Enshi praise sand dam landslide ""warning the first person"" - CNN","Reward RMB 50,000; Hubei Enshi praised the “the person first giving early warning"" of Shaziba landslide - www.chinanews.com",-10
"Hubei Daily (Reporter Lin Jing) July 26, Enshi City, informed the important contribution of geological disaster site monitor Chen Guangming for the Shaziba landslide early warning, and sent him a bonus of 50,000 yuan.","Hubei Daily (Reporter Lin Jing) - On July 26, Enshi City reported and praised Chen Guangming, a monitor of a geological disaster point who made an important contribution to the early warning of Shaziba landslide, and sent him a bonus of RMB 50,000.",-7
"At the same time, the city's party members and cadres were called upon to learn his spirit of dedication, courage, initiative and devotion.","At the same time, Enshi City called on its party members and cadres to learn from Chen Guangming's spirit of fulfilling duties, daring to take responsibility, taking the initiative and being willing to give.",-5
"On July 21, a landslide occurred in Shazi Dam, Ma Shi Village, Tunbao Township, Enshi City, resulting in the formation of a weir in the main channel of the Qingjiang River. 58-year-old Chen Guangming was the first person to warn of the landslide.","On July 21, a landslide occurred in Shaziba, Mazhe Village, Tunbao Township, Enshi City, which led to the formation of a dammed lake in the main stream of Qingjiang River, and 58-Year-old Chen Guangming was the first person to warn of the landslide.",-6
"On the afternoon of July 17, Chen Guangming learned of the cracked walls of the villagers' homes and immediately went to the scene to check.","On the afternoon of July 17, Chen Guangming learned that the wall of a villager' home was cracked, and immediately went to the scene to check.",0
"He just walked out of his home five or six hundred meters, he saw the village group road cracked four or five centimeters, along the road has been extended to the corn field, the length of about 50 meters.","He had just walked five or six hundred meters from his home when he saw the village highway split four or five centimeters, extending along the highway to the cornfield, with a length of about 50 meters.",-5
"Chen Guangming was alerted and sent the photos of the cracked road to the township's ""geohazard monitor contact group"" at the first opportunity.","Chen Guangming was suddenly alert, and immediately sent photos of highway cracking to the ""Geological Disaster Monitor Contact Group” of township.",0
"The person in charge of natural planning in Tumbao Township looked at the site and judged that the possibility of landslides was high, and then made the decision to evacuate the people.","After on-site inspection and judgment by the relevant responsible person of Tunbao Township Natural Planning Institute, he thought that the possibility of landslide was very high, and immediately made a decision to evacuate the masses.",-5
"Chen Guangming's timely warning won 36 hours of precious time for the safe evacuation of 1,339 people in 315 households in the affected area.","The timely warning by Chen Guangming has won 36 hours of precious time for the safe evacuation of 1,339 persons from 315 households in the affected area.",-0.1
No one was killed or injured in this major geological disaster.,No one was caused to death or injured in this serious geological disaster.,0
Chen Guangming's serious and responsible dedication was praised by the public.,Chen Guangming has been praised by the masses for his conscientious and responsible professionalism.,0
"In the face of praise, he said, ""There is no such thing as saving anyone, it's my responsibility. ""","In the face of praise, he said: ""there is no who I saved, and this is my responsibility. ”",-1
"Police informed the ""female college students to Qinghai tourism lost"" details search and rescue work is continuing - Xinhua","The police circulate a notice on the details of “a female college student lost after traveling to Qinghai”, search and rescue work is continuing – www.xinhuanet.com",-6
"Xinhua News Agency, Xining, July 26 (Xinhua Wang Jinjin Zhou Zhe) recently, ""a female college students to travel to Qinghai Golmud after the loss of"" the matter triggered netizens concern.","Xinhua News Agency, Xining, July 26 (reporters Wang Jinjin, Zhou Zhe) – Recently, the incident of “A female college student lost after traveling to Golmud, Qinghai” has aroused the concern of netizens.",-7
"The public security bureau of Golmud City, Haixi Mongolian and Tibetan Autonomous Prefecture, Qinghai Province, informed on the 26th that a university student in Nanjing, Huang Moumou is still in a lost state, the police are deep along the lost place of Huang Moumou, actively carry out the search work.","The Public Security Bureau of Golmud City, Haixi Mongolian and Tibetan Autonomous Prefecture, Qinghai Province, informed on the 26th that a female college student from Nanjing Huang XX is still in a lost state, and the police in many places are searching Huang XX actively along the place where she was lost.",-11
"On July 10, 2020, the public security detachment of Golmud City, Haixi Prefecture, received a notice from the higher level, Nanjing University student Huang Moumou on July 5 by Z164 train from Nanjing to Golmud, on July 9 in Qinghai Province, Yushu Tibetan Autonomous Prefecture, Qumalai County, Sonam Dajie protection station southwest of the Clearwater River area at the cell phone off and lost, requesting assistance to find.","On July 10, 2020, the public security detachment of Gelmu City Public Security Bureau of Haixi Prefecture received a notice from the superior on requiring assistance to find Huang XX, a student of a university in Nanjing, who went from Nanjing to Golmud by the train Z164 on July 5, and later on July 9, was lost with her cell phone powered off in the southwest area of Qingshui River, Sonam Dharje Conservation Station, Qumarlêb County, Yushu Tibetan Autonomous Prefecture, Qinghai Province.",-15
"According to the investigation of the Public Security Bureau of Golmud City, Huang entered the territory of Qinghai Province at 19:54 on July 6 and arrived in Golmud City at 4:00 on the 7th.","According to the investigation of the Golmud Public Security Bureau, Huang XX entered the territory of Qinghai Province at 19:54 on July 6 and arrived in Golmud City at 4:00 on July 7.",0
"At 8:00 that day, the lost person Huangmoumou took a cab from Golmud City Yellow River Hotel towards the G109 national highway, and 12:00 arrived in Cocosili Sonam Dajie protection station, the cab driver returned alone, Huangmoumoumoumoumoumoumou arrived at 15:00 on the 7th Sonam Dajie protection station near the Clearwater River area until 18:00 on the 9th in the area shut down.","The lost person Huang XX left the Huanghe Grand Hotel in Golmud by taxi and went towards the National Highway G109 at 8:00 that day, and arrived at Hoh Xil Sonam Dharje Conservation Station at 12:00, when the taxi driver returned alone. Huang XX arrived in the Qingshui River area nearby Sonam Dharje Conservation Station at 15:00 on July 7, until her cell phone was powered off in this area at around 18:00 on July 9.",-25
"In further investigation, the police found that Huang Moumou had passed through the Naiji Gou checkpoint at 17:07 on July 13.","In the further investigation, the police found that Huang XX had passed through the Naijigou Checkpoint at 17:07 on July 13.",-10
"Naiji Gou checkpoint is the Tibet Autonomous Region Naqu City in Golmud City, the southern mountain pass set up checkpoints, due to the checkpoint no video surveillance, can not determine my own and the vehicle information, the police can only drive along the way to find, coordinate the Tibetan checkpoints along the way if found Huang Moumou, immediately contact with the Golmud City Public Security Bureau.","Naijigou Checkpoint is set up by Naqu City of the Tibet Autonomous Region at the south mountain pass of Golmud City, and does not have video surveillance, so it’s impossible to determine the information on this student and the car she took, the police could only search her by driving along the way, and coordinate each Tibetan checkpoint along the way to contact Golmud Public Security Bureau immediately if discovering Huang XX.",-11
"According to the latest situation, July 26 at 1:00 a.m., Golmud City Public Security Bureau organized rescue forces with rescue equipment, to the Qinghai-Tibet Highway along the Frozen Spring Protection Station, Sonam Dajie Protection Station to find, and actively contact with the Sichuan police, Tibetan police, Nanjing police to work together, the search and rescue work is still continuing.","According to the latest information, at 1:00a.m. on July 26, Golmud Public Security Bureau organized rescue forces with rescue equipment to go to Budongquan Conservation Station and Sonam Dharje Conservation Station along Qinghai-Tibet Highway to search the student, and contacted the police of Sichuan, Tibet and Nanjing actively to develop the work jointly, and at present, the search and rescue work still continuing.",-17
"The local police hope that the majority of netizens and the community if there are relevant clues, timely to the police in Golmud and Nanjing Jiangning police to provide, and strive to find the lost person Huang Moumou early.","The local police hope that the netizens and all circles of the society provide relevant clues, if any, to the police of Golmud and Nanjing in time, striving to find the lost person Huang XX early.",-6
"At the same time, the relevant experts suggest that tourists in the outdoor activities should be standardized, rational, civilized, always pay attention to the roadside warning signs, do not risk entering the uninhabited areas, encounter unexpected situations, to promptly report to the police.","At the same time, the relevant experts suggest that tourists, when carrying out in outdoor activities, should act in a standardized, rational, civilized way , always pay attention to roadside warning signs, never venture into uninhabited areas, and promptly call the police under emergencies.",-5
Russia celebrates Navy Day with military parade - Xinhua,Russia celebrates the Navy Day with military parade – www.xinhuanet.com,0
"Ships parade for the Navy Day celebration in St. Petersburg, Russia, July 26.","On July 26, ships paraded for the Navy Day celebration in St. Petersburg, Russia.",-1
Xinhua News Agency (Photo by Mogina),By Xinhua News Agency (Photo by Mogina),0
"MOSCOW, July 26 (Xinhua) -- Russian fleets held a parade to celebrate Navy Day on July 26 to commemorate the 324th anniversary of the founding of the Russian Navy.","Xinhua News Agency, MOSCOW, July 26 (reporter Lu Jinbo) – On the 26th, Russian fleets held a parade to celebrate the Navy Day and commemorate the 324th anniversary of the founding of the Russian Navy.",-5
"On that day, Russia's North Sea, Baltic Sea, Black Sea, Caspian Sea and Pacific Fleet held parades in the sea where their respective bases are located, with 15,000 soldiers, 219 various types of ships and 71 military aircraft participating.","On that day, Russia's North Sea, Baltic Sea, Black Sea, Caspian Sea and Pacific Fleet held parades in the seas where their respective bases are located, with the participation of 15,000 soldiers, 219 ships of all types, and 71 military aircrafts.",-1.1
Russian President and Supreme Commander of the Armed Forces Vladimir Putin attended the parade of the Baltic Fleet.,Russian President and Supreme Commander of the Armed Forces Vladimir Putin attended the parade of the Baltic Fleet.,-1
"About 4,000 servicemen, 46 ships and more than 40 warplanes took part in the local parade.","Around 4,000 servicemen, 46 ships and more than 40 warplanes took part in the local parade.",-0.1
Putin first reviewed the fleet in the waters of the Kronstadt naval base in the Baltic Sea.,Putin first reviewed the fleet in the waters of the Kronstadt Naval Base in the Baltic Sea.,0
"After that, he arrived at the waters of the Neva River in the center of St. Petersburg by speedboat and went ashore to watch the parade held on the Neva River.","After that, he arrived at the waters of the Neva River in the center of St. Petersburg by speedboat and went ashore to watch the parade held on the Neva River.",0
"In his speech at the parade, Putin said that the modernization of Russian naval equipment has continued to improve in recent years and that the Russian Navy will receive a total of about 40 new ships equipped with unique hypersonic strike systems in 2020.","In his speech at the parade, Putin said that the modernization of Russian naval equipment has continued to improve in recent years and that the Russian Navy will receive a total of about 40 new ships equipped with unique hypersonic strike systems in 2020.",0
"In addition, Russian Navy Commander-in-Chief Yevmenov said in an interview with the Russian Defense Ministry's organ ""Red Star"" that Russia's plan to build ships is being effectively implemented and the number of new ships the Russian Navy plans to receive in 2020 is the largest in recent years.","In addition, Russian Navy Commander-in-Chief Yevmenov said in an interview with Red Star, the newspaper of the Russian Ministry of Defense, that Russia's plan to build ships is being effectively implemented and the number of new ships the Russian Navy plans to receive in 2020 is the largest in recent years.",-10.1
"The history of the Russian Navy began in 1696, when Tsar Peter the Great set out to build a naval fleet.","In 1696, Tsar Peter the Great set out to build a naval fleet, starting the history of the Russian Navy.",0
Russian Navy Day is celebrated every year on the last Sunday of July.,Russian Navy Day is celebrated every year on the last Sunday of July.,0
"In response to the new changes in the prevention and control of the epidemic, since July 17, trade unions at all levels in Xinjiang have responded to the call of the autonomous regional federation of trade unions and actively participated in the prevention and control of the epidemic.","In consideration of the new changes in the epidemic prevention and control work, since July 17, the trade unions at all levels in Xinjiang have responded to the call of Xinjiang Uygur Autonomous Region Federation of Trade Unions to actively participated in the epidemic prevention and control work.",-5
"Tianshan North and South trade union cadres, workers, model workers into the streets and communities, the masses, to carry out food and medicine, disinfection and sterilization, publicity epidemic prevention knowledge and other activities to serve the masses, with practical action to highlight the union ""hardcore power"".","The cadres, staff and model workers of the trade unions across Tianshan went into street communities and residents to carry out activities such as delivering vegetables and medicines, disinfecting and sterilizing, and propagating knowledge of epidemic prevention, serving the workers and masses, and demonstrating the ""hard core power"" of trade unions with practical actions.",-20
"Recently, the sympathy group of the Urumqi Tianshan District Federation of Trade Unions sent a group of much-needed living supplies for epidemic prevention and control to the staff of 12 isolation sites.","Recently, the condolence group of Urumqi Tianshan District Federation of Trade Unions sent a batch of urgently needed living materials for epidemic prevention and control to the workers in 12 isolation points.",-10
"After the outbreak of the epidemic, the Tianshan District General first time to invest funds of more than 1.05 million yuan, urgently allocated to the 23 directly under the grass-roots trade unions.","After the outbreak of COVID-19 epidemic, Tianshan District Federation of Trade Unions invested more than RMB 1.05 million in the first time, which was urgently allocated to 23 directly affiliated grass-roots trade unions.",-20
"After receiving the notice from the company about the epidemic prevention and control, Zhao Xiangguo, deputy secretary of the party committee and chairman of the labor union of CCBC Xinjiang I, took the initiative and chose to stay on duty in the unit to protect the workers.","Zhao Xiangguo, deputy secretary of the Party Committee and chairman of the trade union of CSCEC Xinjiang Construction & Engineering Group No.1 Construction Co., Ltd., took the initiative to volunteer after receiving the notice of the company on epidemic prevention and control, and chose to stay on duty in the unit to escort the employees.",-10
"He sent cooking utensils, food and daily necessities for cooking to employees living in unit dormitories and new recruits, and organized personnel to send them essential supplies for life every two days.","Zhao Xiangguo sent cooking utensils, food and daily necessities to the employees who lived in the dormitory and who joined the company newly, and organized personnel to send daily necessities to them every two days.",-10
"""From July 21, the cadres and workers who hold fast to the front line of the battle 'epidemic' were mapped, and the way of online order and door-to-door delivery by merchants was adopted to purchase additional epidemic prevention supplies and living materials for 704 front-line workers and people in Urumqi area first.""","""From July 21, the trade unions found out the cadres and workers who stick to the front line of fighting against the 'COVID-19 epidemic', and supplemented and purchased epidemic prevention supplies and living materials for 704 front-line workers in Urumq by adopting online orders and merchants delivering goods to home. ”",-5.1
"The person in charge of the Xinjiang Transport Union told reporters that in the face of the sudden epidemic, they are doing their best to provide services to prevent and control the epidemic and steadily promote the development of transportation, creating a strong atmosphere of unity to fight the ""epidemic"".","The person in charge of Xinjiang Transportation Trade Union told reporters that in the face of sudden occurrence of the COVID-19 epidemic, they made every effort to ensure epidemic prevention and control services, steadily push forward the development of transportation, and create a strong atmosphere of fighting against the 'COVID-19 epidemic' with one heart.",-5
"The current summer heat, trade unions at all levels focus on the key areas of the epidemic prevention and control of front-line workers, the ""cool"" care and concern to the implementation.","At present, because of the high temperature in summer, trade unions at all levels keep a close eye on the front-line workers in key areas of epidemic prevention and control, and put the care of ""sending coolness and refreshing"" into practice.",-10
"July 19, Urumqi County Federation of Trade Unions launched to the epidemic prevention and control of front-line workers ""to send cool"" condolence activities, the county police stations, card stations and health systems received drinks, fruit and other condolences.","On July 19, the Federation of Trade Unions Urumqi County launched a condolence activity of ""sending cool and refreshing"" to the front-line workers in epidemic prevention and control, and the police stations, checkpoints and health systems in the county received condolences such as drinks and fruits.",-6
"""Trade union cadres should further improve the political stance, strengthen responsibility, warm the hearts of people with care, with action to inspire morale.","""The cadres of trade unions at all levels should further improve their political positions, strengthen their responsibilities, warm people's hearts with care, and inspire people's morale with actions.",-5
"We should give full play to the role of trade union organizations to coalesce workers and unite them, do a good job of epidemic prevention and control services, actively safeguard the health rights and interests of the majority of workers, and send care to front-line workers.""","The trade unions at all levels should give full play to the role of trade unions in rallying and uniting workers, do a good job in epidemic prevention and control services, actively safeguard the health rights and interests of workers, and send care to the front-line workers. ”",-25
The relevant person in charge of the Autonomous Region Federation of Trade Unions said.,The relevant responsible person of the Xinjiang Uygur Autonomous Region Federation of Trade Unions said.,-5
2020 direct recruitment of non-commissioned officers work in full swing - Xinhua,2020 Direct recruitment of non-commissioned officers in full swing - www.xinhuanet.com,-5
"Xinhua News Agency, Beijing, July 26 (Xinhua Jia Qilong), the Political Work Department of the Military Commission, the Defense Mobilization Department of the Military Commission recently jointly issued a notice, the deployment of the 2020 direct recruitment of non-commissioned officers from ordinary higher education graduates work.","Xinhua News Agency, Beijing, July 26 (reporter Jia Qilong) – The Political Work Department of the Military Commission, the National Defense Mobilization Department of the Military Commission jointly issued a notice recently to make deployment for the 2020 direct recruitment of non-commissioned officers from the graduates of general institutes of higher education.",-12
"This year's direct recruitment of non-commissioned officers covering computers, automation, machinery and other 64 categories of more than 270 military general professional, focusing on increasing the recruitment of drones, navigation, aerospace, electronic information, small languages and other professional recruitment efforts, the scale of recruitment compared to last year increased by nearly 2,000 people.","The direct recruitment of non-commissioned officers this year will cover more than 270 general military specialties of 64 categories such as computer, automation, and machinery, and focus on the specialties like UAV, navigation, aerospace, electronic information, minority languages, and nearly 2000 more people will be recruited as compared with the last year.",-10.2
"This year, the work of direct recruitment of non-commissioned officers and compulsory recruitment of simultaneous organization and implementation, August 1, the end of September 30.","The direct recruitment of non-commissioned officers and the recruitment of compulsory servicemen will be organized and implemented simultaneously, starting on August 1 and completed on September 30.",-5
"You can check the conditions of direct recruitment of non-commissioned officers and the distribution of recruitment around the country through the national conscription website (website: http://www.gfbzb.gov.cn), submit the registration information online if you meet the professional scope and recruitment conditions, and participate in the physical examination, political examination and other follow-up recruitment work according to the unified requirements of the conscription place military service organs.","Young applicants can check the conditions for direct recruitment of non-commissioned officers and the distribution of recruitment specialties around the country through the national conscription website (website: http://www.gfbzb.gov.cn), submit their registration information online if they meet the specialty scope and recruitment conditions, and participate in the follow-up recruitment work such as physical examination and political assessment according to the unified requirements of the military service organs of the conscription areas.",-25
"The qualified young people who cannot be recruited as non-commissioned officers due to the limitation of recruitment and plan can participate in compulsory recruitment, and when they are selected as non-commissioned officers at the end of their compulsory military service, the number of years of study in general higher education according to the prescribed academic system is considered as service time.","Qualified youths who are not recruited as non-commissioned officers due to the limitation of recruiting specialty and program can participate in the conscription of compulsory servicemen, if they are selected as non-commissioned officers upon the expiry of obligatory military service, the years of study in general institutions of higher education in accordance with the prescribed academic system will be considered as service time.",-21
"This year, the recruitment of non-commissioned officers by the provincial or municipal people's government conscription office unified organization, registration potential rich professional will be a comprehensive measure of the level of education, professional course performance during school, to obtain vocational qualifications based on merit selection; scarce professional will be oriented to the local professional requirements, with the advantages of recruiting colleges and universities to recruit counterparts.","The recruitment of non-commissioned officers this year will be uniformly organized by the Conscription Office of the provincial or prefectural or municipal people’s government, for the specialties with rich registration potential, the best applicants will be selected by comprehensively measuring their educational level, scores of professional courses in college, and certificates of professional certificates, etc., for scarce specialties, the personnel will be recruited pertinently from the local colleges and universities which meet specialty requirements and have recruitment advantages.",-25
"According to the normal epidemic prevention and control requirements, this year's direct recruitment of non-commissioned officers in principle, do not arrange their own reporting, will be synchronized with the organization of conscripts transported into the camp.","According to the requirements of the normal prevention and control of the pandemic, the non-commissioned officers directly recruited this year, in principle, won’t be arranged to report for duty by themselves, but will be synchronously organized and transported into the camp together with compulsory servicemen.",-10
"Direct recruitment of non-commissioned officers into the military time from September 1, 2020, the troops issued a non-commissioned officer posting orders for December 1, 2020.","The time of enlistment of non-commissioned officers directly recruited will be calculated from September 1, 2020, and the service order will be issued by the army to non-commissioned officers on December 1, 2020.",-15
"The unit will scientifically develop the enlistment and professional training program, and carefully organize the training; after the completion of training in accordance with the principle of professional counterparts, recruitment and use of the same, the recruitment of non-commissioned officers will be unified and precisely assigned to the corresponding professional and technical positions.",Troop receiving units will develop enlistment and professional training programs scientifically and organize training in earnest; and then distribute the recruited non-commissioned officers to the technical posts of pertinent specialties uniformly and precisely.,-20
Embassy spokesman: Chinese government is a firm defender of cyber security - CNN,Spokesman of Chinese Embassy in the UK: Chinese government is a staunch defender of cyber security – www.chinanews.com,-5
"July 26 (Xinhua) -- According to the website of the Chinese Embassy in the United Kingdom, a spokesman of the Chinese Embassy in the United Kingdom answered reporters' questions on the wrong remarks about cyber attacks on July 25.","Www.chinanews.com, July 26 - According to the news at the website of the Chinese Embassy in London, on the 25th day, the spokesman of the Chinese Embassy in London answered reporters' questions on the wrong remarks about cyber attacks.",-5
The spokesman stressed that the Chinese government is a firm defender of cyber security and has always resolutely opposed and combated any form of cyber attacks and cyber crimes.,The spokesman stressed that the Chinese government is a staunch defender of cyber security and has always firmly opposed and combated any form of cyber attacks and cyber crimes.,0
"A reporter asked a question: According to the media, China-related hacking groups have interfered with the network systems of a British company, launched attacks on British and American technology companies with proprietary data, and hacked into the networks of European Union governments.","A reporter asked: As claimed by some media, some hacker organizations related to China have ever interfered with a British company's network systems, launched attacks on British and American technology companies that hold patent data, and hacked into government networks of European Union countries.",-15
The spokesman said that the Chinese government is a firm defender of cyber security and has always firmly opposed and combated any form of cyber attacks and cyber crimes.,The spokesman said that the Chinese government is a staunch defender of cyber security and has always firmly opposed and combated any form of cyber attacks and cyber crimes.,0
"The cyberspace is highly virtual, difficult to trace and has a variety of actors, so sufficient evidence should be produced when investigating and characterizing cyber incidents, and there should be no unfounded speculation.","For strong virtual nature, difficulty in source tracing, and diversified actors of cyberspace, we shall provide sufficient evidence, instead of resorting to unwarranted speculation, when investigating and determining the nature of network events.",-15
"The spokesman said that the past series of incidents, such as Prism Gate, proved that the United States has been conducting the world's largest cyber-secrecy operation.","The spokesman said that, the U.S. has been conducting the cyber-secrecy operation of the largest scope in the world, as evidenced by the past series of events such as Prism Event.",-5
Maintaining peace and stability in cyberspace is in the common interest of all countries.,Maintaining the peace and stability in cyberspace is in the common interest of all countries.,0
"The speaker noted that China's achievements in science and technology innovation are not stolen or robbed, but have been achieved through self-reliance and hard work.","The spokesman pointed out that China's achievements in technology innovation are not stolen or robbed, but have been made through self-dependence and hard work.",-15
"China submitted about 59,000 patent applications through the Patent Cooperation Treaty (PCT) route in 2019, with an annual growth rate of 10.6 percent, making it the country with the largest number of international patent applications submitted.","In 2019, China submitted around 59,000 patent applications by means of Patent Cooperation Treaty (PCT), with an annual growth rate of 10.6%, becoming the country submitting the most international patent applications.",-15.1
China has become a major innovation and IPR country.,China has become a great power in innovation and intellectual property.,-5
"Free nucleic acid testing in Urumqi has been basically completed in most districts, secondary testing in high-risk areas - CNN","Free nucleic acid test has been basically completed in most areas of Urumqi, and secondary test is carried out in high-risk areas – www.chinanews.com",-6
"Urumqi, July 26 (Xinhua Sun Tingwen Zhao Yamin) - Urumqi Health Commission Director Zhang Wei said on July 26, while briefing the latest epidemic situation and nucleic acid testing in Urumqi, that at present, free nucleic acid testing in most districts of Urumqi city has been basically completed.","Www.wlmq.chinanews.com, July 26 (reporters Sun Tingwen, Zhao Yamin) - Zhang Wei, Director of Urumqi Municipal Health Commission, said when reporting the latest pandemic and nucleic acid test on the 26th day that, at present, free nucleic acid test has been basically completed in most areas of Urumqi.",-6
A group of experts from the State Council and experts from the autonomous region and Urumqi are making further assessments of the development of the epidemic based on nucleic acid testing and epidemiological findings.,The expert panel of the State Council and the experts of the Autonomous Region and Urumqi are carrying out further assessment on the development of the pandemic according to the results of nucleic acid test and epidemiology investigation.,0
The Xinjiang Uygur Autonomous Region Information Office held a press conference on the 26th to inform about the epidemic situation and prevention and control in Xinjiang.,The Xinjiang Uygur Autonomous Region Information Office held a press conference on the 26th day to inform about the epidemic situation and prevention & control in Xinjiang.,0
"According to him, from 0:00 to 24:00 on July 25, there were 22 new confirmed cases of new crown pneumonia in Urumqi (including 5 cases of asymptomatic infected to confirmed cases) and 38 new asymptomatic infected cases.","As introduced by him, from 00:00 to 24:00 of July 25, Urumqi had 22 new confirmed cases of COVID-19 (including 5 confirmed cases transferred from the asymptomatic infection cases), and 38 new asymptomatic infection cases.",-6
